,Parent,Child,ParentGeneName,ChildGeneName
15857,ENSG00000124181,ENSG00000112159,PLCG1,MDN1
15858,ENSG00000124181,ENSG00000178252,PLCG1,WDR6
15859,ENSG00000124181,ENSG00000184271,PLCG1,POU6F1
15860,ENSG00000124181,ENSG00000107742,PLCG1,SPOCK2
15861,ENSG00000124181,ENSG00000187105,PLCG1,HEATR4
15862,ENSG00000124181,ENSG00000129351,PLCG1,ILF3
15863,ENSG00000124181,ENSG00000100376,PLCG1,FAM118A
15864,ENSG00000172575,ENSG00000245164,RASGRP1,RP11-622O11.2
15865,ENSG00000172575,ENSG00000111674,RASGRP1,ENO2
15866,ENSG00000172575,ENSG00000131437,RASGRP1,KIF3A
15867,ENSG00000172575,ENSG00000264364,RASGRP1,RP11-159D12.9
15868,ENSG00000172575,ENSG00000171488,RASGRP1,LRRC8C
15869,ENSG00000107742,ENSG00000114779,SPOCK2,ABHD14B
15870,ENSG00000154310,ENSG00000188971,TNIK,AC114772.1
15871,ENSG00000154310,ENSG00000116127,TNIK,ALMS1
15872,ENSG00000154310,ENSG00000135749,TNIK,PCNXL2
15873,ENSG00000154310,ENSG00000198879,TNIK,SFMBT2
15874,ENSG00000154310,ENSG00000245534,TNIK,RP11-219B17.1
15875,ENSG00000147457,ENSG00000126353,CHMP7,CCR7
15876,ENSG00000147457,ENSG00000100321,CHMP7,SYNGR1
15877,ENSG00000147457,ENSG00000116771,CHMP7,AGMAT
15878,ENSG00000147457,ENSG00000133422,CHMP7,MORC2
15879,ENSG00000147457,ENSG00000120915,CHMP7,EPHX2
15880,ENSG00000147457,ENSG00000186854,CHMP7,TRABD2A
15881,ENSG00000147457,ENSG00000123453,CHMP7,SARDH
15882,ENSG00000147457,ENSG00000173530,CHMP7,TNFRSF10D
15883,ENSG00000147457,ENSG00000211724,CHMP7,TRBV6-6
15884,ENSG00000147457,ENSG00000184867,CHMP7,ARMCX2
15885,ENSG00000147457,ENSG00000124613,CHMP7,ZNF391
15886,ENSG00000147457,ENSG00000204934,CHMP7,ATP6V0E2-AS1
15887,ENSG00000170915,ENSG00000001461,PAQR8,NIPAL3
15888,ENSG00000107651,ENSG00000153560,SEC23IP,UBP1
15889,ENSG00000263002,ENSG00000018869,ZNF234,ZNF582
15890,ENSG00000263002,ENSG00000198718,ZNF234,FAM179B
15891,ENSG00000263002,ENSG00000124459,ZNF234,ZNF45
15892,ENSG00000263002,ENSG00000159917,ZNF234,ZNF235
15893,ENSG00000136807,ENSG00000101246,CDK9,ARFRP1
15894,ENSG00000136807,ENSG00000161526,CDK9,SAP30BP
15895,ENSG00000136807,ENSG00000241258,CDK9,CRCP
15896,ENSG00000109103,ENSG00000180891,UNC119,CUEDC1
15897,ENSG00000115806,ENSG00000109944,GORASP2,C11orf63
15898,ENSG00000115806,ENSG00000155592,GORASP2,ZKSCAN2
15899,ENSG00000163428,ENSG00000104331,LRRC58,IMPAD1
15900,ENSG00000163428,ENSG00000131507,LRRC58,NDFIP1
15901,ENSG00000163428,ENSG00000196371,LRRC58,FUT4
15902,ENSG00000163428,ENSG00000170632,LRRC58,ARMC10
15903,ENSG00000163428,ENSG00000162636,LRRC58,FAM102B
15904,ENSG00000124508,ENSG00000224796,BTN2A2,RPL32P1
15905,ENSG00000120333,ENSG00000132313,MRPS14,MRPL35
15906,ENSG00000120333,ENSG00000165898,MRPS14,ISCA2
15907,ENSG00000120333,ENSG00000185798,MRPS14,WDR53
15908,ENSG00000120333,ENSG00000172262,MRPS14,ZNF131
15909,ENSG00000140332,ENSG00000018280,TLE3,SLC11A1
15910,ENSG00000140332,ENSG00000257479,TLE3,RP11-1136G11.7
15911,ENSG00000140332,ENSG00000198933,TLE3,TBKBP1
15912,ENSG00000267102,ENSG00000267547,RP11-686D22.7,RP11-686D22.4
15913,ENSG00000082516,ENSG00000101266,GEMIN5,CSNK2A1
15914,ENSG00000151779,ENSG00000145216,NBAS,FIP1L1
15915,ENSG00000151779,ENSG00000204178,NBAS,TMEM57
15916,ENSG00000151779,ENSG00000101639,NBAS,CEP192
15917,ENSG00000151779,ENSG00000224579,NBAS,AC012314.19
15918,ENSG00000151779,ENSG00000104738,NBAS,MCM4
15919,ENSG00000151779,ENSG00000058804,NBAS,TMEM48
15920,ENSG00000115364,ENSG00000160131,MRPL19,VMA21
15921,ENSG00000115364,ENSG00000163428,MRPL19,LRRC58
15922,ENSG00000168259,ENSG00000204165,DNAJC7,CXorf65
15923,ENSG00000168259,ENSG00000228395,DNAJC7,RP11-216B9.6
15924,ENSG00000168259,ENSG00000265749,DNAJC7,RP11-849F2.5
15925,ENSG00000119638,ENSG00000185684,NEK9,EP400NL
15926,ENSG00000006327,ENSG00000103145,TNFRSF12A,HCFC1R1
15927,ENSG00000143393,ENSG00000105221,PI4KB,AKT2
15928,ENSG00000109814,ENSG00000188033,UGDH,ZNF490
15929,ENSG00000141378,ENSG00000150527,PTRH2,CTAGE5
15930,ENSG00000141378,ENSG00000146426,PTRH2,TIAM2
15931,ENSG00000110756,ENSG00000121895,HPS5,TMEM156
15932,ENSG00000110756,ENSG00000111602,HPS5,TIMELESS
15933,ENSG00000179364,ENSG00000166428,PACS2,PLD4
15934,ENSG00000179364,ENSG00000181638,PACS2,ZFP41
15935,ENSG00000179364,ENSG00000204209,PACS2,DAXX
15936,ENSG00000179364,ENSG00000182979,PACS2,MTA1
15937,ENSG00000179364,ENSG00000110011,PACS2,DNAJC4
15938,ENSG00000179364,ENSG00000105438,PACS2,KDELR1
15939,ENSG00000179364,ENSG00000162931,PACS2,TRIM17
15940,ENSG00000179364,ENSG00000263214,PACS2,ZNF205-AS1
15941,ENSG00000179364,ENSG00000184343,PACS2,SRPK3
15942,ENSG00000179364,ENSG00000177542,PACS2,SLC25A22
15943,ENSG00000179364,ENSG00000196642,PACS2,RABL6
15944,ENSG00000179364,ENSG00000240849,PACS2,TMEM189
15945,ENSG00000179364,ENSG00000105726,PACS2,ATP13A1
15946,ENSG00000179364,ENSG00000268061,PACS2,NAPA-AS1
15947,ENSG00000159733,ENSG00000232098,ZFYVE28,CTD-2619J13.14
15948,ENSG00000137168,ENSG00000128617,PPIL1,OPN1SW
15949,ENSG00000196387,ENSG00000213762,ZNF140,ZNF134
15950,ENSG00000196387,ENSG00000253106,ZNF140,RP11-158K1.3
15951,ENSG00000164961,ENSG00000135387,KIAA0196,CAPRIN1
15952,ENSG00000164961,ENSG00000116977,KIAA0196,LGALS8
15953,ENSG00000164961,ENSG00000060749,KIAA0196,QSER1
15954,ENSG00000164961,ENSG00000107443,KIAA0196,CCNJ
15955,ENSG00000164961,ENSG00000186047,KIAA0196,DLEU7
15956,ENSG00000157551,ENSG00000260923,KCNJ15,AC137934.1
15957,ENSG00000151117,ENSG00000250397,TMEM86A,RP11-1391J7.1
15958,ENSG00000136631,ENSG00000136098,VPS45,NEK3
15959,ENSG00000136631,ENSG00000198522,VPS45,GPN1
15960,ENSG00000094880,ENSG00000099284,CDC23,H2AFY2
15961,ENSG00000177058,ENSG00000169251,SLC38A9,NMD3
15962,ENSG00000177058,ENSG00000122591,SLC38A9,FAM126A
15963,ENSG00000080608,ENSG00000136518,KIAA0020,ACTL6A
15964,ENSG00000065183,ENSG00000130826,WDR3,DKC1
15965,ENSG00000065183,ENSG00000096384,WDR3,HSP90AB1
15966,ENSG00000065183,ENSG00000055044,WDR3,NOP58
15967,ENSG00000065183,ENSG00000114503,WDR3,NCBP2
